Expression,Category,Animate,Occupation,Clothing,Appearance,Object,finite,pres (past),ing,en,3sg,subj,obj,root,adjs,,,,,,,,
skirt,N,0,,1,1,1,,,,,,,,,soft;cool;wool;warm;red;black;blue;plain;colorful,,,,,,,,
hair,N,0,,0,1,,,,,,,,,,long;short;dark;light;brown;blond,,,,,,,,
eyes,N,0,,0,1,,,,,,,,,,dark;light;blue;brown,,,,,,,,
nose,N,0,,0,1,,,,,,,,,,big;small;narrow;wide,,,,,,,,
face,N,0,,0,1,,,,,,,,,,pretty;strange;wide;long;narrow;short,,,,,,,,
wear,(S\NP)/NP,,,,,,0,,,,,,Clothing=1,wear,,,,,,,,,
wearing,(S\NP)/NP,,,,,,0,,1,,,,Clothing=1,wear,,,,,,,,,
wore,(S\NP)/NP,,,,,,1,0,,,,,Clothing=1,wear,,,,,,,,,
worn,(S\NP)/NP,,,,,,0,,,1,,,Clothing=1,wear,,,,,,,,,
wear,(S\NP)/NP,,,,,,1,1,,,,,Clothing=1,wear,,,,,,,,,
wears,(S\NP)/NP,,,,,,1,1,,,1,,Clothing=1,wear,,,,,,,,,
clean,(S\NP)/NP,,,,,,0,,,,,,Object=1,clean,,,,,,,,,
cleaning,(S\NP)/NP,,,,,,0,,1,,,,Object=1,clean,,,,,,,,,
cleaned,(S\NP)/NP,,,,,,1,0,,,,,Object=1,clean,,,,,,,,,
cleaned,(S\NP)/NP,,,,,,0,,,1,,,Object=1,clean,,,,,,,,,
clean,(S\NP)/NP,,,,,,1,1,,,,,Object=1,clean,,,,,,,,,
cleans,(S\NP)/NP,,,,,,1,1,,,1,,Object=1,clean,,,,,,,,,
break,(S\NP)/NP,,,,,,0,,,,,,Object=1,break,,,,,,,,,
breaking,(S\NP)/NP,,,,,,0,,1,,,,Object=1,break,,,,,,,,,
broke,(S\NP)/NP,,,,,,1,0,,,,,Object=1,break,,,,,,,,,
broken,(S\NP)/NP,,,,,,0,,,1,,,Object=1,break,,,,,,,,,
break,(S\NP)/NP,,,,,,1,1,,,,,Object=1,break,,,,,,,,,
breaks,(S\NP)/NP,,,,,,1,1,,,1,,Object=1,break,,,,,,,,,
buy,(S\NP)/NP,,,,,,0,,,,,,Object=1,buy,,,,,,,,,
buying,(S\NP)/NP,,,,,,0,,1,,,,Object=1,buy,,,,,,,,,
bought,(S\NP)/NP,,,,,,1,0,,,,,Object=1,buy,,,,,,,,,
bought,(S\NP)/NP,,,,,,0,,,1,,,Object=1,buy,,,,,,,,,
buy,(S\NP)/NP,,,,,,1,1,,,,,Object=1,buy,,,,,,,,,
buys,(S\NP)/NP,,,,,,1,1,,,1,,Object=1,buy,,,,,,,,,
sell,(S\NP)/NP,,,,,,0,,,,,,Object=1,sell,,,,,,,,,
selling,(S\NP)/NP,,,,,,0,,1,,,,Object=1,sell,,,,,,,,,
sold,(S\NP)/NP,,,,,,1,0,,,,,Object=1,sell,,,,,,,,,
sold,(S\NP)/NP,,,,,,0,,,1,,,Object=1,sell,,,,,,,,,
sell,(S\NP)/NP,,,,,,1,1,,,,,Object=1,sell,,,,,,,,,
sells,(S\NP)/NP,,,,,,1,1,,,1,,Object=1,sell,,,,,,,,,
lift,(S\NP)/NP,,,,,,0,,,,,,Object=1,lift,,,,,,,,,
lifting,(S\NP)/NP,,,,,,0,,1,,,,Object=1,lift,,,,,,,,,
lifted,(S\NP)/NP,,,,,,1,0,,,,,Object=1,lift,,,,,,,,,
lifted,(S\NP)/NP,,,,,,0,,,1,,,Object=1,lift,,,,,,,,,
lift,(S\NP)/NP,,,,,,1,1,,,,,Object=1,lift,,,,,,,,,
lifts,(S\NP)/NP,,,,,,1,1,,,1,,Object=1,lift,,,,,,,,,
have,(S\NP)/NP,,,,,,0,,,,,,Object=1,,,,,,,,,,
has,(S\NP)/NP,,,,,,1,1,,,1,,Object=1,,,,,,,,,,
had,(S\NP)/NP,,,,,,1,0,,,,,Object=1,,,,,,,,,,
take,(S\NP)/NP,,,,,,0,,,,,,Object=1,,,,,,,,,,
took,(S\NP)/NP,,,,,,1,0,,,,,Object=1,,,,,,,,,,
taking,(S\NP)/NP,,,,,,0,,1,,,,Object=1,,,,,,,,,,
taken,(S\NP)/NP,,,,,,0,,,1,,,Object=1,,,,,,,,,,
bring,(S\NP)/NP,,,,,,0,,,,,,Object=1,,,,,,,,,,
brought,(S\NP)/NP,,,,,,1,0,,,,,Object=1,,,,,,,,,,
brought,(S\NP)/NP,,,,,,0,,,1,,,Object=1,,,,,,,,,,
bringing,(S\NP)/NP,,,,,,0,,1,,,,Object=1,,,,,,,,,,
see,(S\NP)/NP,,,,,,0,,,,,,Object=1|Animate=1,,,,,,,,,,
sees,(S\NP)/NP,,,,,,1,1,,,1,,Object=1|Animate=1,,,,,,,,,,
saw,(S\NP)/NP,,,,,,1,0,,,,,Object=1|Animate=1,,,,,,,,,,
seen,(S\NP)/NP,,,,,,0,,,1,,,Object=1|Animate=1,,,,,,,,,,
like,(S\NP)/NP,,,,,,0,,,,,,Object=1|Animate=1,,,,,,,,,,
likes,(S\NP)/NP,,,,,,1,1,,,,,Object=1|Animate=1,,,,,,,,,,
liked,(S\NP)/NP,,,,,,1,0,,,,,Object=1|Animate=1,,,,,,,,,,
admire,(S\NP)/NP,,,,,,0,,,,,,Object=1|Animate=1,,,,,,,,,,
admiring,(S\NP)/NP,,,,,,0,,1,,,,Object=1|Animate=1,,,,,,,,,,
admires,(S\NP)/NP,,,,,,1,1,,,1,,Object=1|Animate=1,,,,,,,,,,
admired,(S\NP)/NP,,,,,,1,0,,,,,Object=1|Animate=1,,,,,,,,,,
admired,(S\NP)/NP,,,,,,0,,,1,,,Object=1|Animate=1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
wants,(S\NP)/(S\NP),,,,,,1,1,,,,,,,,,,,,,,,
wanted,(S\NP)/(S\NP),,,,,,1,0,,,,,,,,,,,,,,,
want,(S\NP)/(S\NP),,,,,,0,,,,,,,,,,,,,,,,
tried,(S\NP)/(S\NP),,,,,,1,0,,,,,,,,,,,,,,,
trying,(S\NP)/(S\NP),,,,,,0,,1,,,,,,,,,,,,,,
try,(S\NP)/(S\NP),,,,,,0,,,,,,,,,,,,,,,,
tried,(S\NP)/(S\NP),,,,,,0,,,1,,,,,,,,,,,,,
cup,N,0,,,,1,,,,,,,,,,,,,,,,,
plate,N,0,,,,1,,,,,,,,,,,,,,,,,
fork,N,0,,,,1,,,,,,,,,,,,,,,,,
glass,N,0,,,,1,,,,,,,,,,,,,,,,,
dish,N,0,,,,1,,,,,,,,,,,,,,,,,
book,N,0,,,,1,,,,,,,,,,,,,,,,,
chair,N,0,,,,1,,,,,,,,,,,,,,,,,
couch,N,0,,,,1,,,,,,,,,,,,,,,,,
rug,N,0,,,,1,,,,,,,,,,,,,,,,,
car,N,0,,,,1,,,,,,,,,,,,,,,,,
big,N/N,,,,,,,,,,,,,,,,,,,,,,
small,N/N,,,,,,,,,,,,,,,,,,,,,,
new,N/N,,,,,,,,,,,,,,,,,,,,,,
old,N/N,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
